name = Jeschelle Kerman
gender = Female
type = Crew
trait = Pilot
brave = 0.831976414
dumb = 0.939317107
badS = False
veteran = False
tour = False
state = Assigned
inactive = False
inactiveTimeEnd = 0
gExperienced = 0
outDueToG = False
ToD = 0
idx = 0
extraXP = 0
CAREER_LOG
{
	flight = 12
	0 = Flight,Kerbin
	0 = Land,Kerbin
	0 = ExitVessel,Kerbin
	0 = BoardVessel,Kerbin
	0 = Recover
	1 = Flight,Kerbin
	1 = Land,Kerbin
	1 = ExitVessel,Kerbin
	1 = BoardVessel,Kerbin
	1 = Recover
	2 = Flight,Kerbin
	2 = Suborbit,Kerbin
	2 = Land,Kerbin
	2 = Recover
	3 = Flight,Kerbin
	3 = Land,Kerbin
	3 = Recover
	4 = Flight,Kerbin
	4 = Suborbit,Kerbin
	4 = Land,Kerbin
	4 = ExitVessel,Kerbin
	4 = BoardVessel,Kerbin
	4 = Recover
	5 = Flight,Kerbin
	5 = Land,Kerbin
	5 = Recover
	6 = Flight,Kerbin
	6 = Suborbit,Kerbin
	6 = Land,Kerbin
	6 = ExitVessel,Kerbin
	6 = BoardVessel,Kerbin
	6 = Recover
	7 = Flight,Kerbin
	7 = Land,Kerbin
	7 = ExitVessel,Kerbin
	7 = BoardVessel,Kerbin
	7 = Recover
	8 = Recover
	9 = Flight,Kerbin
	9 = Suborbit,Kerbin
	9 = Orbit,Kerbin
	9 = Flyby,Mun
	9 = Escape,Mun
	9 = Orbit,Mun
	9 = Land,Kerbin
	9 = Recover
	10 = Flight,Kerbin
	10 = Suborbit,Kerbin
	10 = Orbit,Kerbin
	10 = Flyby,Mun
	10 = Escape,Mun
	10 = Orbit,Mun
	10 = Suborbit,Mun
	10 = Land,Mun
	10 = PlantFlag,Mun
	10 = Flyby,Kerbin
	10 = Land,Kerbin
	10 = Recover
	11 = Flight,Kerbin
	11 = Suborbit,Kerbin
	11 = Orbit,Kerbin
	11 = Land,Kerbin
	11 = Recover
}
FLIGHT_LOG
{
	flight = 12
	12 = Flight,Kerbin
	12 = Suborbit,Kerbin
	12 = Orbit,Kerbin
	12 = Escape,Kerbin
	12 = Flyby,Sun
	12 = Orbit,Sun
	12 = Flyby,Duna
	12 = Escape,Duna
	12 = Orbit,Duna
	12 = ExitVessel,Duna
	12 = BoardVessel,Duna
	12 = Suborbit,Duna
	12 = Flight,Duna
	12 = Land,Duna
	12 = PlantFlag,Duna
}
